CountryOfOrigin,Continent,FarmName,Altitude,Region,Producer,Variety,ProcessingMethod,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,CleanCup,Sweetness,Overall,TotalCupPoints,MoisturePercentage
Colombia,South America,Finca El Paraiso,1815,"Piendamo,Cauca",Diego Samuel Bermudez,Castillo,Double Anaerobic Washed,8.58,8.5,8.42,8.58,8.25,8.42,10.0,10.0,10.0,8.58,89.33,11.8
Taiwan,Asia,Royal Bean Geisha Estate,1200,Chiayi,曾福森,Gesha,Washed / Wet,8.5,8.5,7.92,8.0,7.92,8.25,10.0,10.0,10.0,8.5,87.58,10.5
Laos,Asia,OKLAO coffee farms,1300,Laos Borofen Plateau,WU TAO CHI,Java,Semi Washed,8.33,8.42,8.08,8.17,7.92,8.17,10.0,10.0,10.0,8.33,87.42,10.4
Costa Rica,North America,La Cumbre,1900,"Los Santos,Tarrazu",Santa Maria de Dota,Gesha,Washed / Wet,8.08,8.17,8.17,8.25,8.17,8.08,10.0,10.0,10.0,8.25,87.17,11.8
Colombia,South America,Finca Santuario,1975,"Popayan,Cauca",Camilo Merizalde,Red Bourbon,"Honey,Mossto",8.33,8.33,8.08,8.25,7.92,7.92,10.0,10.0,10.0,8.25,87.08,11.6
Guatemala,North America,La Colina,1668,Chimaltenango,Emilio Antonio Medina Garcia,Gesha,Washed / Wet,8.33,8.33,8.25,7.83,7.83,8.17,10.0,10.0,10.0,8.25,87.0,10.7
Taiwan,Asia,野牡丹咖啡莊園 Melastoma Coffee Estate,1250,Chiayi,黃保錫,Gesha,Washed / Wet,8.33,8.17,8.08,8.0,7.83,8.25,10.0,10.0,10.0,8.25,86.92,9.1
Taiwan,Asia,七彩琉璃咖啡莊園 Chi Tsai Liu Li Ecological Farm,1200,Chiayi,莊家榮,Sl34+Gesha,Natural / Dry,8.25,8.25,8.17,8.0,7.92,8.08,10.0,10.0,10.0,8.08,86.75,10.0
Taiwan,Asia,亮軒咖啡莊園 Liang Xuan Coffee Farm,1250,Chiayi,鍾旭亮,SL34,Washed / Wet,8.08,8.08,8.25,8.08,7.92,8.0,10.0,10.0,10.0,8.25,86.67,10.8
"Tanzania, United Republic Of",Africa,MASHIMA AMCOS,1550,KILIMANJARO,DORMAN (T) LIMITED,Bourbon,Washed / Wet,8.08,8.17,8.08,8.17,8.0,8.0,10.0,10.0,10.0,8.0,86.5,11.0
Ethiopia,Africa,TADE GG,2000,Guji,Tesfaye Bekele Degaga,Ethiopian Heirlooms,Natural / Dry,8.08,8.25,8.0,8.08,7.92,7.92,10.0,10.0,10.0,8.0,86.25,11.8
Guatemala,North America,Karen Acajabon Coffee Farm,2000,Acatenango,Karen Acajabon,Gesha,Natural / Dry,8.08,8.0,8.0,7.75,8.25,8.17,10.0,10.0,10.0,8.0,86.25,11.5
Taiwan,Asia,古峰咖啡莊園 Goodfun Coffee Farm,1250,Yunlin,賴彥合,Gesha,Washed / Wet,8.08,8.0,8.08,8.08,8.0,8.0,10.0,10.0,10.0,8.0,86.25,11.9
Ethiopia,Africa,Gelana Geisha,1950,Guji,Kerchanshe,Gesha,Natural / Dry,7.67,8.17,8.0,8.33,8.0,8.0,10.0,10.0,10.0,8.0,86.17,11.6
Colombia,South America,La Gaitania,1850,tolima,Josue Enciso Suarez,Caturra,Washed / Wet,8.08,8.0,8.08,7.92,8.08,8.0,10.0,10.0,10.0,8.0,86.17,10.6
Taiwan,Asia,青葉咖啡莊園,1100,Chiayi,葉世遠,SL34,Pulped natural / honey,8.17,8.08,8.0,7.92,8.0,7.92,10.0,10.0,10.0,8.0,86.08,10.2
Ethiopia,Africa,Halo Bariti Cooprative,2000,"Gedeb,Yirgacheffe,Sidamo",Halo Bariti Cooprative,"Wolishalo,Kurume,Dega",Washed / Wet,8.17,8.08,7.92,8.17,7.75,7.92,10.0,10.0,10.0,8.08,86.08,11.3
Taiwan,Asia,東璧咖啡莊園,1300,"Shibi, Gukeng Township, Yunlin County 郵遞區號 , Taiwan (R.O.C.)",陳景立,Gesha,Natural / Dry,8.0,8.17,8.0,7.92,7.92,7.92,10.0,10.0,10.0,8.17,86.08,10.3
Taiwan,Asia,櫻桃果古坑咖啡莊園,1200,"Gukeng Township, Yunlin County",王瀅惠,Gesha,Natural / Dry,8.08,8.17,7.75,7.92,7.83,8.0,10.0,10.0,10.0,8.17,85.92,11.0
"Tanzania, United Republic Of",Africa,BURKA,1585,Arusha,DORMAN (T) LIMITED,Bourbon,Washed / Wet,8.17,8.0,7.92,7.92,8.17,7.75,10.0,10.0,10.0,7.92,85.83,10.0
Guatemala,North America,Finca Vista Hermosa,1900,"Guatemala, Fraijanes, Santa Rosa",Fredy Orantes,Gesha,Natural / Dry,8.0,7.92,8.08,7.92,7.75,8.0,10.0,10.0,10.0,8.08,85.75,11.6
Taiwan,Asia,仲大叔咖啡莊園Uncle Chung.s Coffee Farm,850,卓溪鄉Zhuoxi Township,游婷淯 YU TING YU,Typica,Natural / Dry,8.08,8.0,7.92,7.92,8.0,7.83,10.0,10.0,10.0,7.92,85.67,10.4
Thailand,Asia,Hom Doi,1600,Chiang Mai,Lisu farmers,Catimor,Pulped natural / honey,7.67,8.0,7.83,8.0,8.08,8.0,10.0,10.0,10.0,8.08,85.67,9.8
Colombia,South America,El Diamante,1350,Quindio,Farm Bedoya Arango,Castillo Paraguaycito,,8.08,8.0,7.83,8.17,7.75,7.83,10.0,10.0,10.0,8.0,85.67,11.3
Taiwan,Asia,永舜咖啡莊園,1250,Yunlin,蘇甘永,SL34,Washed / Wet,7.83,8.0,7.92,8.0,8.0,7.92,10.0,10.0,10.0,7.92,85.58,10.6
Brazil,South America,Fazenda Recreio,1250,Região Vulcânica,Diogo T. Dias de Macedo,,Pulped natural / honey,7.83,8.08,7.83,7.92,8.0,7.83,10.0,10.0,10.0,8.0,85.5,11.3
Taiwan,Asia,鄒築園ZouZhouYuan,1300,Chiayi,方政倫,Gesha,Natural / Dry,7.92,7.92,8.0,7.92,7.83,7.92,10.0,10.0,10.0,8.0,85.5,9.1
Taiwan,Asia,嵩岳咖啡莊園,1200,Yunlin,郭志豪,Gesha,Natural / Dry,8.17,8.08,7.92,8.0,7.58,7.83,10.0,10.0,10.0,7.92,85.5,10.6
Taiwan,Asia,他扶芽有機農園,1060,Chiayi,陳清龍,Gesha,Natural / Dry,8.0,8.0,8.0,7.92,7.75,7.92,10.0,10.0,10.0,7.92,85.5,10.2
United States (Hawaii),North America,Hokukano Ranch,600,Kona,Kona Hills LLC,Typica,Washed / Wet,8.0,7.92,8.0,7.83,7.67,8.0,10.0,10.0,10.0,8.0,85.42,9.3
Taiwan,Asia,鄉庭有機農場Siang-Ting Organic Farm,200,壽豐鄉Shoufeng Township,張進義Zhang Jin-Yi,Typica,Washed / Wet,8.0,8.0,7.83,7.83,7.75,7.92,10.0,10.0,10.0,8.08,85.42,11.4
Taiwan,Asia,鄉庭有機農場Siang-Ting Organic Farm,200,壽豐鄉Shoufeng Township,張進義Zhang Jin-Yi,Typica,Washed / Wet,7.92,8.0,7.83,7.92,7.83,7.83,10.0,10.0,10.0,8.0,85.33,10.8
Taiwan,Asia,金讚咖啡農莊園(Jinzan Coffee Estate),668,"Dongshan Dist., Tainan City","葉明讚 (YE,MING-ZAN)",Gesha,Washed / Wet,8.08,8.17,7.67,7.83,7.67,7.92,10.0,10.0,10.0,8.0,85.33,11.3
Ethiopia,Africa,Eshetu farm,1950,Oromia,Eshetu,Ethiopian Heirlooms,Washed / Wet,7.67,7.83,7.83,8.0,8.0,8.0,10.0,10.0,10.0,8.0,85.33,9.9
Ethiopia,Africa,Uraga Bisrat washing station,2250,Southern Ethiopia Guji,Bisrat Melaku,Ethiopian Heirlooms,Natural / Dry,8.0,8.08,8.0,8.0,7.67,7.75,10.0,10.0,10.0,7.83,85.33,12.3
Ethiopia,Africa,YHAENU PLC FARM,1700,OROMIA,YHAENU PLC,Ethiopian Heirlooms,Washed / Wet,7.92,7.75,7.83,8.17,8.0,7.75,10.0,10.0,10.0,7.83,85.25,9.4
Taiwan,Asia,卓武山咖啡農場,1200,Chiayi,許定燁,Gesha,Washed / Wet,8.0,7.92,7.83,7.92,7.83,7.83,10.0,10.0,10.0,7.92,85.25,9.5
Taiwan,Asia,御香咖啡園 YU SIANG Coffee Estate,650,"Dongshan Dist., Tainan City","陳建源(CHEN, JIAN-YUAN)",Gesha,Pulped natural / honey,8.25,8.08,7.83,7.75,7.67,7.75,10.0,10.0,10.0,7.92,85.25,11.3
Kenya,Africa,Small Holder,1750,Central,Small Holder,SL28,Washed / Wet,8.17,7.75,7.83,7.58,7.92,8.0,10.0,10.0,10.0,8.0,85.25,9.2
Taiwan,Asia,皇庭咖啡莊園,850,"Caoling , Gukeng Township, Yunlin County",陳榮豐,Gesha,Washed / Wet,7.75,7.92,7.75,8.0,7.83,7.92,10.0,10.0,10.0,8.0,85.17,10.3
