Country Name,Country Code,Indicator Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Afghanistan,AFG,Progression to secondary school (%),86.26841,86.26841,86.26841,86.26841,86.26841,86.26841,92.3154,90.76541,90.76541,90.76541,90.76541,90.76541,90.76541,90.76541
Angola,AGO,Progression to secondary school (%),52.48167,52.48167,52.48167,52.48167,52.48167,52.48167,52.48167,52.48167,52.48167,52.48167,52.48167,52.48167,52.48167,52.48167
Albania,ALB,Progression to secondary school (%),99.18615,99.48943,99.75281,99.80782,99.08036,98.06952,98.17323,98.53003,98.53003,98.53003,98.53003,98.53003,98.53003,98.53003
United Arab Emirates,ARE,Progression to secondary school (%),95.76771,99.42204,98.39354,99.93103,99.93103,99.93103,99.93103,99.93103,99.93103,99.93103,99.93103,99.93103,99.93103,99.93103
Argentina,ARG,Progression to secondary school (%),96.17801,96.62407,96.84399,97.31649,97.40726,99.48824,99.85158,99.85158,99.85158,99.85158,99.85158,99.85158,99.85158,99.85158
Armenia,ARM,Progression to secondary school (%),97.78508,97.78508,97.78508,96.9776,99.9048,98.48073,98.09939,98.26575,98.26575,98.26575,98.26575,98.26575,98.26575,98.26575
Australia,AUS,Progression to secondary school (%),91.91553283687944,91.90757617021276,91.4153885815603,91.84478985815602,91.43973361702126,91.64814758865249,91.78989191489362,92.10635078014184,92.10531177304964,92.10531177304964,92.10531177304964,92.10531177304964,92.10531177304964,92.10531177304964
Austria,AUT,Progression to secondary school (%),99.94701,99.84479,99.93833,99.97995,99.93128,99.92498,99.76727,99.76727,99.76727,99.76727,99.76727,99.76727,99.76727,99.76727
Azerbaijan,AZE,Progression to secondary school (%),98.72166,99.03984,99.08856,99.07489,99.44771,99.41522,97.56762,99.23063,99.23063,99.23063,99.23063,99.23063,99.23063,99.23063
Burundi,BDI,Progression to secondary school (%),71.25481,69.33454,75.66893,77.23248,79.60397,86.76805,76.30755,76.29475,76.29475,76.29475,76.29475,76.29475,76.29475,76.29475
Belgium,BEL,Progression to secondary school (%),91.91553283687944,91.90757617021276,91.4153885815603,91.84478985815602,91.43973361702126,91.64814758865249,91.78989191489362,92.10635078014184,92.10531177304964,92.10531177304964,92.10531177304964,92.10531177304964,92.10531177304964,92.10531177304964
Benin,BEN,Progression to secondary school (%),78.34911,78.34911,88.69957,85.46746,87.56778,83.75624,83.75624,83.75624,83.75624,83.75624,83.75624,83.75624,83.75624,83.75624
Burkina Faso,BFA,Progression to secondary school (%),72.07983,72.07983,68.19726,68.74054,76.55103,77.55105,76.05944,80.10901,80.10901,80.10901,80.10901,80.10901,80.10901,80.10901
Bangladesh,BGD,Progression to secondary school (%),94.51421,94.51421,94.51421,94.51421,94.51421,94.51421,94.51421,94.51421,94.51421,94.51421,94.51421,94.51421,94.51421,94.51421
Bulgaria,BGR,Progression to secondary school (%),98.66867,99.05417,99.29677,99.60124,99.2541,98.70297,99.33268,99.33268,99.33268,99.33268,99.33268,99.33268,99.33268,99.33268
Bahrain,BHR,Progression to secondary school (%),99.79041,99.79041,99.92808,99.82811,99.87832,99.99489,99.35795,99.4653,99.4653,99.4653,99.4653,99.4653,99.4653,99.4653
Bosnia and Herzegovina,BIH,Progression to secondary school (%),99.49037,99.49037,99.49037,99.49037,99.49037,98.88108,98.64303,97.91047,97.91047,97.91047,97.91047,97.91047,97.91047,97.91047
Belarus,BLR,Progression to secondary school (%),98.44346,98.49313,98.10813,98.31024,98.38697,98.07925,98.01376,98.15973,98.15973,98.15973,98.15973,98.15973,98.15973,98.15973
Bolivia,BOL,Progression to secondary school (%),93.9977,95.01185,96.5149,96.29121,96.97341,97.2006,96.59641,97.30542,97.30542,97.30542,97.30542,97.30542,97.30542,97.30542
Brazil,BRA,Progression to secondary school (%),91.91553283687944,91.90757617021276,91.4153885815603,91.84478985815602,91.43973361702126,91.64814758865249,91.78989191489362,92.10635078014184,92.10531177304964,92.10531177304964,92.10531177304964,92.10531177304964,92.10531177304964,92.10531177304964
Bhutan,BTN,Progression to secondary school (%),99.60323,98.88238,96.28662,99.0069,99.0069,99.58045,99.58045,99.58045,99.58045,99.58045,99.58045,99.58045,99.58045,99.58045
Botswana,BWA,Progression to secondary school (%),97.46923,97.46923,97.46923,97.46923,97.46923,97.46923,97.46923,97.46923,97.46923,97.46923,97.46923,97.46923,97.46923,97.46923
Central African Republic,CAF,Progression to secondary school (%),75.4323,75.4323,75.4323,75.4323,75.4323,75.4323,75.4323,75.4323,75.4323,75.4323,75.4323,75.4323,75.4323,75.4323
Canada,CAN,Progression to secondary school (%),91.91553283687944,91.90757617021276,91.4153885815603,91.84478985815602,91.43973361702126,91.64814758865249,91.78989191489362,92.10635078014184,92.10531177304964,92.10531177304964,92.10531177304964,92.10531177304964,92.10531177304964,92.10531177304964
Switzerland,CHE,Progression to secondary school (%),99.88774,99.91113,99.83743,99.89548,99.87645,99.84501,99.91574,99.91574,99.91574,99.91574,99.91574,99.91574,99.91574,99.91574
Chile,CHL,Progression to secondary school (%),96.528,97.394,97.35059,97.31431,97.39676,97.57968,97.90418,97.90418,97.90418,97.90418,97.90418,97.90418,97.90418,97.90418
China,CHN,Progression to secondary school (%),91.91553283687944,91.90757617021276,91.4153885815603,91.84478985815602,91.43973361702126,91.64814758865249,91.78989191489362,92.10635078014184,92.10531177304964,92.10531177304964,92.10531177304964,92.10531177304964,92.10531177304964,92.10531177304964
Cote d'Ivoire,CIV,Progression to secondary school (%),73.47509,73.47509,73.47509,87.98359,92.67935,91.97522,91.94192,91.94192,91.94192,91.94192,91.94192,91.94192,91.94192,91.94192
Cameroon,CMR,Progression to secondary school (%),60.80533,65.11651,65.11651,67.89956,67.89956,66.49127,66.49127,66.49127,66.49127,66.49127,66.49127,66.49127,66.49127,66.49127
"Congo, Dem. Rep.",COD,Progression to secondary school (%),74.84224,74.84224,72.30146,72.30146,72.30146,72.30146,72.30146,72.30146,72.30146,72.30146,72.30146,72.30146,72.30146,72.30146
"Congo, Rep.",COG,Progression to secondary school (%),77.27496,76.43519,76.43519,76.43519,76.43519,76.43519,76.43519,76.43519,76.43519,76.43519,76.43519,76.43519,76.43519,76.43519
Colombia,COL,Progression to secondary school (%),98.59564,99.40911,96.66362,98.4025,98.29638,98.29638,98.29638,98.29638,98.29638,98.29638,98.29638,98.29638,98.29638,98.29638
Comoros,COM,Progression to secondary school (%),92.61772,92.61772,92.61772,92.61772,92.61772,92.61772,92.61772,92.61772,92.61772,92.61772,92.61772,92.61772,92.61772,92.61772
Cabo Verde,CPV,Progression to secondary school (%),97.80495,97.23412,96.05454,96.32944,98.20288,97.65182,99.44483,94.41203,94.41203,94.41203,94.41203,94.41203,94.41203,94.41203
Costa Rica,CRI,Progression to secondary school (%),92.9103,94.02844,84.37573,84.83775,83.64136,84.64545,85.28271,91.70589,91.70589,91.70589,91.70589,91.70589,91.70589,91.70589
Cuba,CUB,Progression to secondary school (%),98.62642,99.03107,98.82599,99.08836,98.37158,98.81487,98.60992,98.45096,98.45096,98.45096,98.45096,98.45096,98.45096,98.45096
Cyprus,CYP,Progression to secondary school (%),99.43144,98.88369,99.53709,99.3834,99.36473,98.40366,99.74383,99.74383,99.74383,99.74383,99.74383,99.74383,99.74383,99.74383
Czechia,CZE,Progression to secondary school (%),99.33742,99.20375,99.67728,99.71331,99.97633,99.95724,99.94707,99.94707,99.94707,99.94707,99.94707,99.94707,99.94707,99.94707
Germany,DEU,Progression to secondary school (%),99.3411,99.3411,99.3411,99.68935,99.63376,99.90526,99.50305,99.50305,99.50305,99.50305,99.50305,99.50305,99.50305,99.50305
Djibouti,DJI,Progression to secondary school (%),86.7967,86.7967,86.7967,99.43844,80.23868,76.16387,83.9042,86.24763,86.24763,86.24763,86.24763,86.24763,86.24763,86.24763
Denmark,DNK,Progression to secondary school (%),99.87073,97.28535,99.91531,99.97115,99.99816,99.95,99.94342,99.94342,99.94342,99.94342,99.94342,99.94342,99.94342,99.94342
Dominican Republic,DOM,Progression to secondary school (%),94.58919,93.0053,94.91685,97.37323,95.27411,92.52574,92.58356,93.1639,93.1639,93.1639,93.1639,93.1639,93.1639,93.1639
Algeria,DZA,Progression to secondary school (%),98.57422,97.7312,98.5156,99.39158,99.00214,98.91984,98.91984,99.20801,99.20801,99.20801,99.20801,99.20801,99.20801,99.20801
Ecuador,ECU,Progression to secondary school (%),95.31474,96.82915,99.13611,99.95213,95.7005,98.63667,99.00281,99.59274,99.59274,99.59274,99.59274,99.59274,99.59274,99.59274
"Egypt, Arab Rep.",EGY,Progression to secondary school (%),94.39296,94.39296,94.39296,94.39296,94.39296,94.39296,94.39296,96.55541,96.55541,96.55541,96.55541,96.55541,96.55541,96.55541
Eritrea,ERI,Progression to secondary school (%),96.31959,95.82228,97.81582,97.81582,92.27363,92.27363,94.74082,94.74082,94.74082,94.74082,94.74082,94.74082,94.74082,94.74082
Spain,ESP,Progression to secondary school (%),99.98985,99.98985,99.98985,99.98985,99.87975,99.2581,99.97225,99.97225,99.97225,99.97225,99.97225,99.97225,99.97225,99.97225
Estonia,EST,Progression to secondary school (%),99.47679,99.61093,99.54882,99.39714,99.32959,99.73484,99.82892,99.82892,99.82892,99.82892,99.82892,99.82892,99.82892,99.82892
Ethiopia,ETH,Progression to secondary school (%),89.48867,98.34591,98.34591,91.44209,91.44209,91.44209,91.44209,91.44209,91.44209,91.44209,91.44209,91.44209,91.44209,91.44209
Finland,FIN,Progression to secondary school (%),99.96902,99.87,99.9326,99.92357,99.85416,99.98863,99.89739,99.89739,99.89739,99.89739,99.89739,99.89739,99.89739,99.89739
Fiji,FJI,Progression to secondary school (%),94.25422,94.25422,94.25422,94.25422,98.01615,98.01615,98.01615,98.01615,98.01615,98.01615,98.01615,98.01615,98.01615,98.01615
France,FRA,Progression to secondary school (%),91.91553283687944,91.90757617021276,91.4153885815603,91.84478985815602,91.43973361702126,91.64814758865249,91.78989191489362,92.10635078014184,92.10531177304964,92.10531177304964,92.10531177304964,92.10531177304964,92.10531177304964,92.10531177304964
Gabon,GAB,Progression to secondary school (%),91.91553283687944,91.90757617021276,91.4153885815603,91.84478985815602,91.43973361702126,91.64814758865249,91.78989191489362,92.10635078014184,92.10531177304964,92.10531177304964,92.10531177304964,92.10531177304964,92.10531177304964,92.10531177304964
United Kingdom,GBR,Progression to secondary school (%),99.98111,99.98111,99.98111,99.98111,99.98111,99.98111,99.98111,99.98111,99.98111,99.98111,99.98111,99.98111,99.98111,99.98111
Georgia,GEO,Progression to secondary school (%),98.58002,98.58002,99.95594,99.66751,99.57623,99.81863,99.5071,99.68743,99.68743,99.68743,99.68743,99.68743,99.68743,99.68743
