Country Name,Country Code,Indicator Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Afghanistan,AFG,Gini index,63.4,63.4,63.4,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0
Angola,AGO,Gini index,51.3,51.3,51.3,51.3,51.3,51.3,51.3,51.3,51.3,51.3,51.3,51.3,51.3,51.3
Albania,ALB,Gini index,29.0,29.0,29.0,29.0,34.6,32.8,33.7,33.1,30.1,30.1,29.4,29.4,29.4,29.4
United Arab Emirates,ARE,Gini index,32.5,32.5,32.5,32.5,32.5,32.5,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0
Argentina,ARG,Gini index,43.7,42.7,41.4,41.1,41.8,41.8,42.3,41.4,41.7,43.3,42.7,42.4,40.7,40.7
Armenia,ARM,Gini index,30.0,29.4,29.6,30.6,31.5,32.4,32.5,33.6,34.4,30.0,25.1,27.9,27.9,27.9
Australia,AUS,Gini index,34.7,34.7,34.7,34.4,34.4,34.4,33.7,33.7,34.3,34.3,34.3,34.3,34.3,34.3
Austria,AUT,Gini index,30.3,30.8,30.5,30.8,30.5,30.5,30.8,29.7,30.8,30.2,29.8,30.7,30.7,30.7
Azerbaijan,AZE,Gini index,63.4,63.4,63.4,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0
Burundi,BDI,Gini index,38.6,38.6,38.6,38.6,38.6,38.6,38.6,37.5,37.5,37.5,37.5,37.5,37.5,37.5
Belgium,BEL,Gini index,28.4,28.1,27.5,27.7,28.1,27.7,27.6,27.4,27.2,27.2,26.0,26.6,26.6,26.6
Benin,BEN,Gini index,43.4,43.4,43.4,43.4,47.8,47.8,47.8,37.9,37.9,37.9,34.4,34.4,34.4,34.4
Burkina Faso,BFA,Gini index,35.3,35.3,35.3,35.3,35.3,35.3,35.3,43.0,43.0,43.0,37.4,37.4,37.4,37.4
Bangladesh,BGD,Gini index,32.1,32.1,32.1,32.1,32.4,32.4,32.4,32.4,32.4,32.4,33.4,33.4,33.4,33.4
Bulgaria,BGR,Gini index,35.7,34.3,36.0,36.6,37.4,38.6,40.6,40.4,41.3,40.3,40.5,39.0,39.0,39.0
Bahrain,BHR,Gini index,63.4,63.4,63.4,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0
Bosnia and Herzegovina,BIH,Gini index,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0
Belarus,BLR,Gini index,28.6,27.2,26.5,26.6,27.2,25.6,25.3,25.4,25.2,25.3,24.4,24.4,24.4,24.4
Bolivia,BOL,Gini index,46.1,46.1,46.6,47.6,47.8,46.7,45.2,44.6,42.6,41.6,43.6,40.9,40.9,40.9
Brazil,BRA,Gini index,52.9,52.9,53.4,52.7,52.0,51.9,53.4,53.3,53.9,53.5,48.9,52.9,52.0,52.0
Bhutan,BTN,Gini index,38.8,38.8,38.8,38.8,38.8,37.4,37.4,37.4,37.4,37.4,28.5,28.5,28.5,28.5
Botswana,BWA,Gini index,53.3,53.3,53.3,53.3,53.3,53.3,53.3,53.3,53.3,53.3,53.3,53.3,53.3,53.3
Central African Republic,CAF,Gini index,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0
Canada,CAN,Gini index,33.6,32.7,33.5,33.8,33.2,33.7,32.7,33.3,32.5,31.7,31.7,31.7,31.7,31.7
Switzerland,CHE,Gini index,32.6,31.7,31.6,32.5,32.5,32.3,33.0,32.7,33.1,34.0,33.7,33.7,33.7,33.7
Chile,CHL,Gini index,46.9,46.9,46.9,46.8,46.8,45.3,45.3,45.3,45.3,47.0,47.0,47.0,43.0,43.0
China,CHN,Gini index,43.7,42.4,42.2,39.7,39.2,38.6,38.5,39.1,38.5,38.2,37.1,37.1,37.1,37.1
Cote d'Ivoire,CIV,Gini index,41.5,41.5,41.5,41.5,41.5,41.5,41.5,37.2,37.2,37.2,35.3,35.3,35.3,35.3
Cameroon,CMR,Gini index,46.6,46.6,46.6,46.6,46.6,46.6,46.6,46.6,42.2,42.2,42.2,42.2,42.2,42.2
"Congo, Dem. Rep.",COD,Gini index,42.1,42.1,42.1,42.1,42.1,42.1,42.1,44.7,44.7,44.7,44.7,44.7,44.7,44.7
"Congo, Rep.",COG,Gini index,48.9,48.9,48.9,48.9,48.9,48.9,48.9,48.9,48.9,48.9,48.9,48.9,48.9,48.9
Colombia,COL,Gini index,54.6,53.5,52.6,52.6,52.6,51.0,50.6,49.7,50.4,51.3,53.5,55.1,54.8,54.8
Comoros,COM,Gini index,45.3,45.3,45.3,45.3,45.3,45.3,45.3,45.3,45.3,45.3,45.3,45.3,45.3,45.3
Cabo Verde,CPV,Gini index,42.4,42.4,42.4,42.4,42.4,42.4,42.4,42.4,42.4,42.4,42.4,42.4,42.4,42.4
